Date,Price,Total Exchange Balance,Inflows,Outflows,Netflows
2023-07-31,29229.6766283125,3245925.7245568503,3836.129958171066,-3119.998165693796,460.13112133845135
2023-08-01,29668.5781139684,3253302.901160959,4198.260270371662,-3074.12549045221,522.9744791278878
2023-08-02,29150.1782003986,3253180.1943019605,4120.712400890221,-3052.513730232065,585.4934695372658
2023-08-03,29175.81635559,3252019.113938889,3983.1145211515386,-3096.2544527419277,634.9066738146856
2023-08-04,29074.5525483206,3252384.701097849,3887.2784934734364,-3037.23661902713,675.5025969182304
2023-08-05,29045.6162542304,3253697.004465149,3862.0159941065376,-2981.7566868033146,719.6238885439673
2023-08-06,29042.0480211678,3253586.614078469,3702.930308548106,-2879.5143141770977,762.3761908969408
2023-08-07,29179.4548728283,3257858.8564683883,3900.7216237595662,-2807.917203018625,816.3197467222398
2023-08-08,29763.2397185717,3250101.609757148,3740.7672824329284,-3251.699603824051,821.9589085810902
2023-08-09,29578.6047350551,3253137.873122519,3811.191159412732,-3210.0104350197794,842.6340884981602
2023-08-10,29437.8426384499,3253342.889706927,3907.31803120122,-3285.5815828071272,824.2274170527113
2023-08-11,29401.4028588253,3255076.509329901,3899.236475395139,-3202.4411486959907,811.5476707172443
2023-08-12,29416.3209521918,3257125.932518288,3855.8172828961356,-3078.1800987509273,809.4526189339043
2023-08-13,29283.4330763789,3257904.051885129,3723.707383354385,-2937.3047203628644,815.3333523969767
2023-08-14,29412.6629632129,3260130.527504849,3793.4571457427587,-2926.6496189693394,826.0959048467015
2023-08-15,29168.9393102894,3259740.031507578,3638.3832247732425,-2886.929266269385,799.4758461741591
2023-08-16,28716.955675677,3261029.1790409912,3751.5701389190313,-3116.509942088091,768.5373837579293
2023-08-17,26641.1490175833,3267017.7546170466,4156.43274369509,-3188.898188248883,774.2998471176862
2023-08-18,26047.655701857,3267556.908366388,4331.676130961416,-3389.5002959222893,780.8808443028877
2023-08-19,26087.6681513793,3264848.4658734486,4174.8899637806535,-3470.1553506068008,768.3433661507898
2023-08-20,26188.2940150577,3264028.9533491507,4033.342129375276,-3434.5573253663474,752.298281124927
2023-08-21,26119.6865997804,3259484.0066105486,3925.9559265629255,-3675.41989206126,692.1362535364074
2023-08-22,26023.4584889966,3263458.251400308,4147.8706115114,-3623.420659992509,694.6635587442655
2023-08-23,26424.425885267,3255705.068699818,4129.892217594639,-4098.791109543009,653.9435861484569
2023-08-24,26139.0400945493,3255843.642157241,4300.010287194327,-4345.3043558514755,606.2985492162255
2023-08-25,26051.0276962783,3254586.046350431,4282.661988301375,-4411.70950616871,547.3097746043339
2023-08-26,26006.6715364229,3255913.7976815985,4241.40513335795,-4267.666061289462,489.8884808845683
2023-08-27,26087.2252240873,3255046.4462810704,4073.8192622434235,-4155.286221681502,427.8977935681685
2023-08-28,26108.558274789,3255086.0738895703,4087.9920816265267,-4053.919403202063,368.41673297181455
2023-08-29,27722.8571506219,3250937.9892085483,4148.527250922089,-4421.198396460596,295.2649398259314
2023-08-30,27301.8029928452,3247854.839105339,3981.6695512266174,-4544.052627276554,209.73327747729746
2023-08-31,25929.8273633107,3254306.966765937,4301.858548186839,-4394.4609084601125,134.00921206876325
2023-09-01,25802.6775814268,3267270.368653799,4995.815239297044,-4213.350649694772,122.60126596613085
2023-09-02,25862.6621403054,3267508.284194889,4803.029616010574,-4050.0682963091126,126.04603071810288
2023-09-03,25971.1192769633,3266690.6688682004,4617.273816596536,-3979.217606654504,128.851131141896
2023-09-04,25818.2004165872,3266914.3526726444,4488.69335788677,-3880.3953083115425,154.40556079000763
